"vo_avg s valence electrons","vo_avg p valence electrons","vo_avg d valence electrons","vo_avg f valence electrons","PymatgenData mean Z","PymatgenData mean ionization_energy","PymatgenData mean electron_affinity","band center","PymatgenData mean atomic_radius","PymatgenData mean max_oxidation_state","PymatgenData mean X","PymatgenData mean mendeleev_no","PymatgenData mean row","PymatgenData mean group","PymatgenData mean atomic_mass","min_diff_X_all_atoms","target_H_min_sp_e"
0.666,0,10,0,46.666,8.555613673,0.1351881804,4.46371268017635,1.44995,3.334,2.03017,70.998,5,10.666,108.415003,0.51,-0.450738080000008
1,0,8.625,8.75,65.625,8.39635625,1.756775125,5.05562962197332,1.35,6,2.28,66.875,5.625,9.625,160.5170625,0,-0.449476319999917
1,0,8.75,10.5,69.75,8.5838475,1.87955175,5.22240984743991,1.35,6,2.28,67.25,5.75,9.75,172.039375,0,-0.448067370000047
0.571428571428571,0,10,2,51.1428571428572,8.13782471428572,1.12977897857143,4.61186033253283,1.47857142857143,3.71428571428572,2.13285714285714,70,5.14285714285714,10.5714285714286,119.975881285714,0.27,-0.447818210000037
0.25,0,10,0,41.75,8.18422425,0.7305519,4.45453119378619,1.3875,4,2.125,69.75,4.75,10.25,95.7015,0.3,-0.44460341000007
0.334,0.334,10,0,46.668,8.171021193,0.653979343,4.40974168213289,1.40835,4,2.15992,71.338,5,10.668,108.47243,0.24,-0.443286750000027
0.444,0,10,0,46.444,7.99913038,0.8917365192,4.44358248372016,1.4888,3.556,2.08012,69.888,5,10.444,107.0630008,0.27,-0.440655980000003
1.5,0,7.5,7,61,8.21296,1.35347456,4.79230066700029,1.35,6,2.24,65.5,5.5,9,147.56125,0.0799999999999996,-0.439207770000053
1,0,7.8,0,44.8,7.43922,1.123568,4.27958482807294,1.34,6.4,2.264,64.4,5,8.8,102.5384,0.0799999999999996,-0.438820050000004
0.333,0,10,0,46.333,8.083557535,0.8093376894,4.44444552508967,1.4666,3.667,2.11009,69.666,5,10.333,106.9022506,0.27,-0.43512229000001
1,0,8.375,5.25,57.375,8.02137375,1.511221875,4.73787770138933,1.35,6,2.28,66.125,5.375,9.375,137.4724375,0,-0.43364938000002
1,0,8.583,8.162,64.239,8.33335919,1.715522179,5.00079548721802,1.35,6,2.28,66.749,5.583,9.583,156.6455655,0,-0.43317514000006
0.625,0.25,10,5.25,58.875,7.89079045,0.71992782875,4.21583789304052,1.51875,3.875,2.0975,71.375,5.375,10.875,142.229146125,0.34,-0.431917060000018
1,0,8.2,2.8,51.6,7.758886,1.3393346,4.52741039357956,1.35,6,2.28,65.6,5.2,9.2,121.3412,0,-0.429004259999999
0.333,0,10,0,40.339,8.133556153,0.7864642524,4.45702250508809,1.38335,4,2.1001,69.999,4.667,10.333,92.142958,0.3,-0.428835769999978
1,0,8.111,1.554,48.663,7.62539223,1.251917643,4.42398579487412,1.35,6,2.28,65.333,5.111,9.111,113.1373135,0,-0.428782769999998
1,0,8.444,6.216,59.652,8.12486892,1.578994572,4.82352655207251,1.35,6,2.28,66.332,5.444,9.444,143.832754,0,-0.424297789999997
1,0,8.3,4.2,54.9,7.908879,1.4375559,4.64650517310682,1.35,6,2.28,65.9,5.3,9.3,130.55905,0,-0.421970389999956
1,0,8.571,7.994,63.843,8.31536003,1.703735623,4.98523811284694,1.35,6,2.28,66.713,5.571,9.571,155.5394235,0,-0.420837590000019
1,0,8.7,9.8,68.1,8.508851,1.8304411,5.15504749484976,1.35,6,2.28,67.1,5.7,9.7,167.43045,0,-0.420682149999948
0.666666666666667,0,10,0,46.6666666666667,8.07179022222222,0.749606311111111,4.44913234344347,1.50555555555556,3.33333333333333,2.02333333333333,70.5555555555555,5,10.6666666666667,107.729311111111,0.24,-0.415552329999997
1,0,8.667,9.338,67.011,8.45935331,1.798028071,5.11106501753643,1.35,6,2.28,67.001,5.667,9.667,164.3885595,0,-0.414994550000074
0.6,0,10,0,41.2,8.6540464,0.20749884,4.52069502829234,1.385,3.4,2.035,71.1,4.7,10.6,94.1167,0.55,-0.413019630000008
1,0,8.6,8.4,64.8,8.358858,1.7322198,5.02291824458979,1.35,6,2.28,66.8,5.6,9.6,158.2126,0,-0.412918930000046
0.583416583416583,0,10,5.83216783216783,59.9140859140859,8.58016879020979,1.41353680884116,4.95431610388574,1.41253746253746,4.24975024975025,2.29659340659341,69.7502497502498,5.41658341658342,10.5834165834166,144.381806866134,0.27,-0.408824890000005
1,0.25,9.75,3.5,50.5,7.702101175,1.05550755,4.28659029840194,1.4125,4.25,2.04,72,5,11,119.967,0.0799999999999996,-0.408440110000015
0.333666333666334,0,10,2.33566433566434,51.6723276723277,8.358211997003,0.977355727422578,4.64282542434365,1.42502497502497,4,2.21167832167832,69.5004995004995,5.16683316683317,10.3336663336663,121.767778644356,0.27,-0.405635529999984
0.5,0,10,0,37.5,8.0316095,0.8989626,4.46203936634622,1.375,4,2.05,70.5,4.5,10.5,84.983,0.3,-0.404851879999998
0.5,0,10,0,42,7.994073,0.91613485,4.45258323279667,1.4375,3.75,2.0575,70.25,4.75,10.5,96.06355,0.03,-0.395537160000004
0.222,0,10,0,46.222,8.409763891,0.4198235268,4.45258772884468,1.41665,3.778,2.14339,69.666,5,10.222,107.085001,0.51,-0.395007010000001
0.666666666666667,0,10,6.22222222222222,60.8888888888889,8.80482133333333,1.19588953333333,4.99803061615902,1.39444444444444,4.22222222222222,2.29444444444444,70.1111111111111,5.44444444444444,10.6666666666667,147.328586222222,0.34,-0.394103090000002
0.222,0,10,1.554,49.774,8.570012815,0.4420235268,4.52677556076436,1.4111,4,2.1778,69.555,5.111,10.222,116.87287,0.2,-0.393014839999978
0.444,0,10,0,38.452,8.065795204,0.8612386032,4.4603564365661,1.3778,4,2.0668,70.332,4.556,10.444,87.383944,0.3,-0.386433799999992
0.6,0,10,0,37.6,7.955549,0.97319578,4.46125876620748,1.395,3.9,2.023,70.7,4.5,10.6,85.12782,0.03,-0.384576080000045
0.5,0,10,7,62.5,8.7811965,1.435375725,5.06442019278274,1.375,4.5,2.37,69.5,5.5,10.5,151.6932845,0.34,-0.384421270000018
0.5,0,10,0,39.3,8.0165949,0.9058315,4.45825450542633,1.4,3.9,2.053,70.4,4.6,10.5,89.41522,0.03,-0.384216009999989
